Title,Year,Runtime,Actors,IMDB Rating,Metascore,IMDB Votes,Box Office,Description,Tagline,Budget,Revenue,TMDB Rating,Vote Count,Month,Day,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Approved,G,GP,M,M/PG,NC-17,Not Rated,PG,PG-13,R,TV-MA,Unrated,Top_Production_Company,Top_Director,Top_Writer,Domestic,International,English_Language,Other_Language,Oscars_Won,Oscars_Nominated,Wins,Nominations
Sorry to Bother You,2018,112,"LaKeith Stanfield, Tessa Thompson, Jermaine Fowler",6.9,78.0,91879,17493096.0,"In an alternate version of Oakland, Cassius Green gets a telemarketing job and finds the commission paid job a dispiriting struggle as a black man selling to predominately white people over the phone. That changes when a veteran advises him to use his ""white voice,"" and the attitude behind it to make himself more appealing to customers. With a bizarrely high-pitched accent, Cassius becomes a success even as his colleagues form a union to improve their miserable jobs. Regardless, Cassius finds himself promoted a ""Power Caller"" selling the most morally abhorrent but lucrative products and services as his connection to his girlfriend and colleagues fades away. However, Cassius' conscience arises anew as he finds himself in the midst of his boss' bizarre world of condescending bigoted decadence and his sinister plans to create the perfect subservient work force with Cassius' help.",Destiny is calling.,3200000,18200000,6.798,1625,7,13,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,20,56
The Other Side of the Door,2016,96,"Sarah Wayne Callies, Jeremy Sisto, Sofia Rosinsky",5.3,41.0,20206,3000342.0,"A family lives an idyllic existence abroad until a tragic accident takes the life of their young son. The inconsolable mother learns of an ancient ritual that will bring him back to say a final goodbye. She travels to an ancient temple, where a door serves as a mysterious portal between two worlds. But when she disobeys a sacred warning to never open that door, she upsets the balance between life and death.",It was never meant to be opened.,5000000,14332467,5.558,855,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,3
The Karate Kid Part III,1989,112,"Ralph Macchio, Pat Morita, Robyn Lively",5.3,36.0,72953,38956288.0,"John Kreese, his life in tatters after his karate school was defeated by Daniel and Miyagi, visits Terry Silver, a Vietnam War comrade. Terry is a ruthless businessman and martial arts expert, and he vows to help Kreese gain revenge on Daniel and Miyagi, and reestablish Cobra Kai. Upon returning from Okinawa, Daniel and Miyagi discover that their apartment building has been demolished, which brings Miyagi out of work. Going against Miyagi's wishes, Daniel uses his college funds to realize Miyagi's dream of opening a bonsai tree shop, and becomes a partner in the bonsai business.","First it was teacher to student. Then it was father to son. Now, it's man to man.",12500000,38956288,5.913,1703,6,30,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,5
The Hudsucker Proxy,1994,111,"Tim Robbins, Paul Newman, Jennifer Jason Leigh",7.2,53.0,88201,2816518.0,"When Waring Hudsucker, head of hugely successful Hudsucker Industries, commits suicide, his board of directors, led by Sidney Mussberger, comes up with a brilliant plan to make a lot of money: appoint a moron to run the company. When the stock falls low enough, Sidney and friends can buy it up for pennies on the dollar, take over the company, and restore its fortunes. They choose idealistic Norville Barnes, who just started in the mail room. Norville is whacky enough to drive any company to ruin, but soon, tough reporter Amy Archer smells a rat and begins an undercover investigation of Hudsucker Industries.",They took him for a fall guy... but he threw them for a hoop.,25000000,2800000,7.071,1101,3,11,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,3,4
Breaking the Waves,1996,159,"Emily Watson, Stellan Skarsgård, Katrin Cartlidge",7.8,82.0,73011,3803298.0,"Drama set in a repressed, deeply religious community in the north of Scotland, where a naive young woman named Bess McNeil meets and falls in love with Danish oil-rig worker Jan. Bess and Jan are deeply in love but, when Jan returns to his rig, Bess prays to God that he returns for good. Jan does return, his neck broken in an accident aboard the rig. Because of his condition, Jan and Bess are now unable to enjoy a sexual relationship and Jan urges Bess to take another lover and tell him the details. As Bess becomes more and more deviant in her sexual behavior, the more she comes to believe that her actions are guided by God and are helping Jan recover.",Love is a mighty power.,7500000,23000000,7.498,1044,11,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,44,28
John Q,2002,116,"Denzel Washington, Robert Duvall, Gabriela Oltean",7.1,30.0,149906,71756802.0,"John Quincy Archibald's son Michael collapses while playing baseball as a result of heart failure. John rushes Michael to a hospital emergency room where he is informed that Michael's only hope is a transplant. Unfortunately, John's insurance won't cover his son's transplant. Out of options, John Q. takes the emergency room staff and patients hostage until hospital doctors agree to do the transplant.",Give a father no options and you leave him no choice.,36000000,102244770,7.1,2469,2,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2,8
Just Mercy,2020,137,"Michael B. Jordan, Jamie Foxx, Brie Larson",7.6,68.0,81121,36001502.0,"A powerful and thought-provoking true-story, ""Just Mercy"" follows young lawyer Bryan Stevenson (Jordan) and his history-making battle for justice. After graduating from Harvard, Bryan might have had his pick of lucrative jobs. Instead, he heads to Alabama to defend those wrongly condemned, with the support of local advocate Eva Ansley (Larson.) One of his first, and most incendiary, cases is that of Walter McMillian (Foxx,) who, in 1987, was sentenced to die for the notorious murder of an 18-year-old girl, despite a preponderance of evidence proving his innocence and the fact that the only testimony against him came from a criminal with a motive to lie. In the years that follow, Bryan becomes embroiled in a labyrinth of legal and political maneuverings and overt and unabashed racism as he fights for Walter, and others like him, with the odds-and the system-stacked against them.",Every generation has its hero. Meet ours.,25000000,50401502,7.855,2347,1,10,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,9,19
Onward,2020,102,"Tom Holland, Chris Pratt, Julia Louis-Dreyfus",7.4,61.0,180580,61555145.0,"In a suburban fantasy world, two teenage elf brothers, Ian and Barley Lightfoot, go on a journey to discover if there is still a little magic left out there in order to spend one last day with their father, who died when they were too young to remember him. Like any good quest, their journey is filled with magic spells, cryptic maps, impossible obstacles and unimaginable discoveries. When the boys' fearless mom, Laurel, realizes that her sons are missing, she teams up with the legendary winged-lion-scorpion former warrior -- The Manticore -- and heads off to find them. Perilous curses aside, this one magical day could mean more than any of them ever dreamed.",Their quest beginneth.,200000000,141940042,7.66,6324,3,6,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,4,64
The Way Way Back,2013,103,"Steve Carell, Toni Collette, Allison Janney",7.4,68.0,160901,21506546.0,"Duncan (Liam James) is not a popular kid and it doesn't look like the summer is going to offer anything better for him. His mother's boyfriend has invited them to his beach house where Duncan is expected to improve his personality and physical appearance, and meet girls. But his would-be step-sister doesn't want anything to do with him and his shy demeanor makes it difficult for him to meet anybody new. When Duncan wanders into the Water Wizz, the local water park, he meets adult employees who are just having fun. Owen (Sam Rockwell) lets Duncan work with him and their new-found bond will help each other mature and find their place in life. Which for Duncan means standing up to his would-be step-father, having a conversation with the girl next door and being more comfortable with who he is.",We've all been there.,4600000,23198652,7.132,1845,7,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5,31
Sinister 2,2015,97,"James Ransone, Shannyn Sossamon, Robert Daniel Sloan",5.3,32.0,64197,27740955.0,"In a farmhouse near a corn field where Ellison Oswait lived, the boy Dylan has nightmares and is visited by ghostly children led by the boy Milo. Dylan lives with his mother Courtney Collins, who has just left her abusive husband, and his brother Zach and is forced by the ghosts to go to the basement to watch home films in Super 8 of families being slaughtered. Ex-Deputy So &amp; So is investigating the crime spree of Bughuul and burning down the houses where the deceased families lived to protect other families. He travels to the farmhouse and finds Courtney and her sons living there. He tells that he is a private investigator and he protects her against a bluff of her ex-husband to keep the children with him. Then he begins a love affair with Courtney. Meanwhile Dylan tells to the ghosts that he will not see any video again but Zach, who is the real choice of the ghosts, replaces him. When their father succeeds in getting a court order to have the custody of the children, Courtney is forced to go with the children. What will happen to the Collins family?",Some Things You Can't Unsee.,10000000,53329150,5.878,2189,8,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,3
Hotel Transylvania 3: Summer Vacation,2018,97,"Adam Sandler, Andy Samberg, Selena Gomez",6.3,54.0,93131,167510016.0,"Mavis surprises Dracula with a family voyage on a luxury Monster Cruise Ship so he can take a vacation from providing everyone else's vacation at the hotel. The rest of Drac's Pack cannot resist going along. But once they leave port, romance arises when Dracula meets the mysterious ship Captain, Ericka. Now it's Mavis' turn to play the overprotective parent.",He's going to need a vacation after this vacation.,80000000,528600000,6.9,4540,7,13,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,9
Aquamarine,2006,110,"Emma Roberts, JoJo, Sara Paxton",5.4,51.0,46140,18597342.0,"In a dreary Florida beach resort village, luscious-limbed lifeguard Raymond is the main attraction for girls. Teenage buddies Claire and Hailey become experts on him by observation, but never dare actually approach him, and after this closing summer season will be separated as one's parents move to Australia. Then they find a storm washes up a sassy mermaid in a swimming pool, who promises them a wish if they help her prove to Neptune love exists, and Raymond is the only creature resembling a love-god.",A Fish-Out-Of-Water Comedy.,12000000,23006849,6.459,1522,3,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5
Fantastic Four: Rise of the Silver Surfer,2007,92,"Ioan Gruffudd, Jessica Alba, Chris Evans",5.6,45.0,288552,131921738.0,"Everything seems to be going great for the Fantastic Four. Reed and Sue are finally getting married, and things couldn't seem better. However, when the mysterious Silver Surfer crashes things, they learn that they will have to deal with an old foe, and the powerful planet eating Galactus.",Discover the secret of the Surfer.,130000000,301913131,5.614,8035,6,15,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,3,17
Evil Dead II,1987,84,"Bruce Campbell, Sarah Berry, Dan Hicks",7.7,72.0,190181,5923044.0,Ashley Williams travels to a secluded cabin in the woods with his girlfriend Linda where they find a tape recording of a professor and a book of evil. This unleashes a bunch of evil spirits that constantly terrorize Ash. Meanwhile a journalist comes to the area to study the book of evil. Ash and her end up having to survive this swarm of evil until morning comes.,Kiss your nerves goodbye!,3500000,10900000,7.546,3262,3,13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,5
The Remains of the Day,1993,134,"Anthony Hopkins, Emma Thompson, John Haycraft",7.8,86.0,87999,23237911.0,"Rule bound head butler Stevens' (Sir Anthony Hopkins') world of manners and decorum in the household he maintains is tested by the arrival of housekeeper Miss Kenton (Dame Emma Thompson), who falls in love with him in pre-World War II Britain. The possibility of romance and his master's cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.",Diamond in the Rough.,11500000,23240144,7.371,1387,11,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,8,17,42
The Hand That Rocks the Cradle,1992,110,"Annabella Sciorra, Rebecca De Mornay, Matt McCoy",6.7,64.0,51336,88036683.0,"Peyton Flanders (Rebecca De Mornay) seemed to be the perfect nanny, but secretly she was out to wreck the lives of the family she was supposed to be helping. Before becoming the nanny, Peyton had a miscarriage due to the stress caused by the death of her husband, Dr. Victor Mott (John de Lancie), and blamed it on Claire (the mother, played by Annabella Sciorra),. Claire suspects nothing, having never met Peyton before.",Trust is her weapon. Innocence her opportunity. Revenge her only desire.,11700000,88036683,6.864,922,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,6
Rat Race,2001,112,"Breckin Meyer, Amy Smart, Whoopi Goldberg",6.5,52.0,126214,56618055.0,"Donald P. Sinclair has placed six separate gold coins in different slot machines in his casino. The lucky six who find these coins discover an opportunity of a lifetime: the chance to own $2 million, locked up in a locker in New Mexico. These six contestants must now race each other to be the first to the cash. There are no rules in place and everything that could possibly happen, does. Whilst, behind the scenes, Sinclair's associates are placing their bets.",563 miles. 9 people. $2 million. 1001 problems!,48000000,85498534,6.272,1848,8,17,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,3
The Transformers: The Movie,1986,84,"Orson Welles, Robert Stack, Leonard Nimoy",7.2,43.0,42841,5849647.0,"The Decepticons have invaded and taken over the Autobots' home planet, Cybertron. The Autobots are determined to fight back and go to Autobot City on Earth for supplies. Decepticons hijack and take over the ship, resulting in a fierce battle between the Autobots and Decepticons, the result of which is devastating. A new threat to the Autobots appears in the form of Unicron, a massive planet-devouring transformer.",Beyond good. Beyond evil. Beyond your wildest imagination.,6000000,5860601,7.2,553,8,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
Failure to Launch,2006,97,"Matthew McConaughey, Sarah Jessica Parker, Kathy Bates",5.7,47.0,91199,88715192.0,"At 35, Tripp has an interesting job, a hip car, a passion for sailing, and a great house - trouble is, he lives with his parents. They want him out, so they hire Paula, an ""interventionist,"" who has a formula in these cases: chance encounter, get him to ask her out, involve him in a trauma, meet his friends and get their nod, delay sex, have him teach her something, then launch him. It's worked up to now, but this gets complicated when Tripp thinks she's getting too serious and one of his pals is attracted to Paula's deadpan, semi-alcoholic roommate, who's plagued by a mockingbird. Too many secrets may scrub the launch, and what if Paula really likes him? Who can intervene then?","To leave the nest, some men just need a little push.",50000000,130224158,5.832,1696,3,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,5
The Secret Life of Bees,2008,114,"Dakota Fanning, Jennifer Hudson, Queen Latifah",7.2,57.0,28931,37770162.0,"Set in South Carolina in 1964, this is the tale of Lily Owens, a 14 year-old girl who is haunted by the memory of her late mother. To escape her lonely life and troubled relationship with her father T-Ray, Lily flees with Rosaleen, her caregiver and friend, to a South Carolina town that holds the secret to her mother's past. Taken in by the intelligent and independent Boatwright sisters, Lily finds solace in their mesmerizing world of beekeeping.","Bring Your Girlfriends, Sisters, Mothers and Daughters.",11000000,38105395,7.483,543,10,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,11,17
The Spectacular Now,2013,95,"Miles Teller, Shailene Woodley, Kyle Chandler",7.0,82.0,163714,6854611.0,"Sutter Keely lives in the now. It's a good place for him. A high school senior, charming and self-possessed, he's the life of the party, loves his job at a men's clothing store, and has no plans for the future. A budding alcoholic, he's never far from his supersized, whiskey-fortified thirst-master cup. But after being dumped by his girlfriend, Sutter gets drunk and wakes up on a lawn with Aimee Finecky hovering over him. She's different: the ""nice girl"" who reads science fiction and doesn't have a boyfriend. While Aimee has dreams of a future, Sutter lives in the impressive delusion of a spectacular now, yet somehow, they're drawn together.",Hits You Like A Shot In The Heart.,2500000,6854611,6.668,2912,9,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,9,32
Black Snake Moan,2007,116,"Christina Ricci, Samuel L. Jackson, Justin Timberlake",6.9,52.0,67737,9396870.0,"In rural Tennessee, Lazarus, a former blues musician who survives by truck farming, finds a young girl nearly beaten to death near his home. She's the white-trash town tramp, molded by a life of sexual abuse at the hands of her father and verbal abuse from her mother, who seems to delight in reminding Rae of her mistake in not aborting her. Lazarus, who is also facing personal crisis at the dissolution of his marriage, nurses Rae back to health, providing her with gentle, fatherly advice as well as an education in blues music. Rae's boyfriend, Ronnie, goaded by the man who nearly beat Rae to death, misunderstands the relationship between Lazarus and Rae, and vows to kill him. Lazarus, exhibiting a street-smart understanding of violence and its motives, calls Ronnie's bluff, senses that he is as troubled as Rae, and becomes a guiding force in the young couple's resurrection.",Everything is hotter down south.,15000000,10900000,6.844,902,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,7
Step Up,2006,104,"Channing Tatum, Jenna Dewan, Damaine Radcliff",6.5,48.0,130159,65328121.0,"In Baltimore, the troublemaker and street dancer Tyler Gage lives with his foster parents in a lower class neighborhood. His best friends are Mac Carter and his little brother Skinny Carter and they used to hang around together, going to parties and stealing cars. After being expelled from a party, the trio breaks in the Maryland School of Arts and commits vandalism, destroying the stage. Tyler is arrested and sentenced to 200 hours of community service in the school and Director Gordon assigns him to help the janitor cleaning the place. One afternoon, the ballet dancer Nora Clark sees Tyler dancing in the parking area and when her partner Andrew has a strain and Tyler offers to help her in the choreography, she accepts the offer; they rehearsal and become close to each other while Tyler becomes friend of the students Miles Darby and Lucy Avila. When Andrew returns, Tyler that is known for quitting everything he starts gives up dancing and leaves Nora alone. After an incident, Tyler has to decide to follow his dream or return to his life of rebel loser.",Every second chance begins with a first step.,12000000,114194847,6.871,3764,8,11,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,3
The Darkest Minds,2018,104,"Amandla Stenberg, Mandy Moore, Bradley Whitford",5.7,39.0,38743,12695691.0,"After a disease killed 98% of children and young people in the United States, the 2% who managed to survive have developed superpowers, but have been locked in internment camps after being declared a threat. 16-year-old, Ruby, manages to escape from her camp and joins a group of teenagers fleeing government forces.",The ones who changed will change everything,34000000,41142379,7.034,2862,8,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,3
Gremlins 2: The New Batch,1990,106,"Zach Galligan, Phoebe Cates, Howie Mandel",6.4,69.0,116238,41482207.0,"Having moved to New York City after the Kingston Falls complete pandemonium in Gremlins (1984), the young couple of Billy and Kate now works for the money-grubbing tech-mogul, Daniel Clamp, in his colossal Clamp Tower high-rise. But, before long, Gizmo, the orphaned Mogwai, falls prey to the evil scientist, Doctor Catheter, and once more, a splash of water spawns hordes of the mischievous Gremlins that immediately start doing what they do best: wreaking havoc. Is there an escape from the onslaught of the new batch?",Here they grow again.,50000000,41482207,6.515,2718,6,15,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,6
The Sorcerer's Apprentice,2010,109,"Nicolas Cage, Jay Baruchel, Alfred Molina",6.1,46.0,172513,63150991.0,"Balthazar Blake (Nicolas Cage) is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath (Alfred Molina). Balthazar can't do it alone, so he recruits Dave Stutler (Jay Baruchel), a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness. It'll take all the courage Dave can muster to survive his training, save the city and get the girl as he becomes The Sorcerer's Apprentice.",It's the coolest job ever.,150000000,215300000,6.1,5060,7,14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,2
A Perfect World,1993,138,"Kevin Costner, Clint Eastwood, Laura Dern",7.5,71.0,91055,31130999.0,"After escaping from a Huntsville prison, convict Robert ""Butch"" Haynes (Kevin Costner) and his partner Terry Pugh (Keith Szarabajka) kidnap a young boy, Phillip Perry (T.J. Lowther), and flee across Texas. As they travel together, Butch and Phillip discover common bonds and suffer the abuses of the outside ""Perfect World"". In pursuit is Texas Ranger ""Red"" Garnett (Clint Eastwood) and Criminologist Sally Gerber (Laura Dern).",A convict. A cop. A hostage that will make one of them a hero.,30000000,135100000,7.477,1731,11,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,2,1
Scooby-Doo 2: Monsters Unleashed,2004,93,"Freddie Prinze Jr., Sarah Michelle Gellar, Matthew Lillard",5.3,34.0,68514,84239132.0,"When Mystery, Inc. are guests of honor at the grand opening of the Coolsville Museum of Criminology, a masked villain shows up and creates havoc before stealing the costumes of the gang's most notorious villains: Black Knight Ghost, Pterodactyl Ghost and Tar Monster. Could it be that their nemesis, mad scientist Jonathan Jacobo has returned and is trying to recreate their deadliest enemies? Velma has a crush on the museum curator Patrick Wisely despite her fears of intimacy but why is he acting so suspicious? The Mystery Gang is hard pressed to succeed this time, since annoying television reporter Heather Jasper-Howe insists they are buffoons.",Doo the fright thing.,80000000,181466833,6.083,2798,3,26,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,4
Cold Pursuit,2019,119,"Liam Neeson, Laura Dern, Micheál Neeson",6.2,57.0,82397,32138862.0,"Quiet family man and hard-working snowplow driver Nels is the lifeblood of a glitzy resort town in the Rocky Mountains because he is the one who keeps the winter roads clear. He and his wife live in a comfortable cabin away from the tourists. The town has just awarded him ""Citizen of the Year."" But Nels has to leave his quiet mountain life when his son is murdered by a powerful drug lord. As a man who has nothing to lose he is stoked by a drive for vengeance. This unlikely hero uses his hunting skills and transforms from an ordinary man into a skilled killer as he sets out to dismantle the cartel. Nels' actions ignite a turf war between a manically unpredictable gangster known as Viking and a rival gang boss. Justice is served in one final spectacular confrontation that will leave (almost) no one unscathed.",Meet Nels Coxman. Citizen of the Year.,60000000,76419755,5.852,2661,2,8,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3
Gangster Squad,2013,113,"Sean Penn, Ryan Gosling, Emma Stone",6.7,40.0,226163,46000903.0,"It's 1949 Los Angeles, and gangster Mickey Cohen has moved in, with the intention of controlling all criminal activity in the city. He has bought local judges and police, and no one is willing to cross him or testify against him. Everyone except Sergeant John O'Mara, a former World War II soldier, whose goal is to settle with his family in a peaceful Los Angeles. Police Chief William Parker decides to form a special unit whose mission is to take down Cohen, and chooses O'Mara to lead the unit. O'Mara chooses 4 cops and asks another cop and vet, Jerry Wooters to join him but Wooters is not interested. After Wooters witnesses the murder of a young boy by Cohen's people, he joins them, and they decide to take apart Cohen's organization. Cohen wonders if a rival is going after him, eventually he realizes it's the cops.",No names. No badges. No mercy.,60000000,105200000,6.371,4109,1,11,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,5
Boys Don't Cry,2000,118,"Hilary Swank, Chloë Sevigny, Peter Sarsgaard",7.5,86.0,106115,11540607.0,"Based on actual events. Brandon Teena is the popular new guy in a tiny Nebraska town. He hangs out with the guys, drinking, cussing, and bumper surfing, and he charms the young women, who've never met a more sensitive and considerate young man. Life is good for Brandon, now that he's one of the guys and dating hometown beauty Lana; however, he's forgotten to mention one important detail. It's not that he's wanted in another town for GTA and other assorted crimes, but that Brandon Teena was actually born a woman named Teena Brandon. When his best friends make this discovery, Brandon's life is ripped apart.",A true story about finding the courage to be yourself.,2000000,11540607,7.404,1373,3,31,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,50,39
Sliver,1993,107,"Sharon Stone, William Baldwin, Tom Berenger",5.1,38.0,35962,36300000.0,"In a daring attempt to start afresh after a dead-end marriage, the successful book editor, Carly Norris, moves into her elegant new apartment on the twentieth floor of a high-tech Manhattan apartment building. Unbeknownst to her that the luxurious ""sliver"" building comes with a terrible history of unsolved grisly murders, Carly catches the eye of both the burned-out crime novelist, Jack Landsford, and the shyly charming video-game designer, Zeke Hawkins. However, as a mysterious voyeur watches the tenants' every move, yet another female neighbor dies. Could Norris be next?",You like to watch... don't you?,40000000,116300000,5.525,743,5,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,4,9
Mermaids,1990,110,"Cher, Bob Hoskins, Winona Ryder",6.7,56.0,37209,35419397.0,"After yet another failed relationship, Mrs. Flax (Cher) ups her family to the east coast to start all over again. Reluctantly dragged along with her is her daughter Charlotte - going through a very confusing time of her life - who wants to become a nun, and instead falls in love with a quiet, mild-mannered church employee, to the mixed response of her mother. Set at around the time of the Kennedy Assassination.",Mom is many things... normal isn't one of them.,31000000,35419397,6.7,534,12,14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,4,1
The Quiet Man,1952,129,"John Wayne, Maureen O'Hara, Barry Fitzgerald",7.7,85.0,44292,10550000.0,"Sean Thornton has returned from America to reclaim his homestead and escape his past. Sean's eye is caught by Mary Kate Danaher, a beautiful but poor maiden, and younger sister of ill-tempered ""Red"" Will Danaher. The riotous relationship that forms between Sean and Mary Kate, punctuated by Will's pugnacious attempts to keep them apart, form the main plot, with Sean's past as the dark undercurrent.",Action... Excitement... Romance... Fill the Screen!,1750000,3800000,7.316,560,9,14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,15,10
Need for Speed,2014,132,"Aaron Paul, Dominic Cooper, Imogen Poots",6.4,39.0,183146,43577636.0,"Framed by an ex-partner for a murder he did not commit, Tobey Marshall, a financially struggling custom-car builder and street-racer, spends two years in jail thinking about one moment. Fresh out of prison he reacquires the fastest car his workshop ever built and sold, and seeks to enter a secretive and extremely high-stakes race known as The DeLeon. His purpose; redemption, recognition from the world of racing and to solve his problems. Yet all this fades in comparison to his driving reason. Revenge. Above all, revenge. This is a story about love, redemption, revenge and motor oil all swirled together",For honor. For love. For redemption.,66000000,203277636,6.426,4483,3,14,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,6
